City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
184,Wajir,KE,2022-05-20 14:44:13,1.7471,40.0573,91.36,46,40,0.0
185,Pakokku,MM,2022-05-20 14:44:13,21.3333,95.1,88.16,58,100,5.39
186,Contamana,PE,2022-05-20 14:44:13,-7.3333,-75.0167,77.45,58,97,0.81
187,Ulladulla,AU,2022-05-20 14:44:14,-35.35,150.4667,53.76,76,100,4.92
188,Canico,PT,2022-05-20 14:44:14,32.6333,-16.85,74.12,85,75,11.5
189,Port Lincoln,AU,2022-05-20 14:44:15,-34.7333,135.8667,58.21,62,8,14.67
190,Griffith,US,2022-05-20 14:44:15,41.5284,-87.4237,80.31,71,40,16.11
191,Biak,ID,2022-05-20 14:44:15,-0.9131,122.8766,77.07,83,82,6.76
192,Samfya,ZM,2022-05-20 14:44:16,-11.3649,29.5565,74.84,52,80,1.52
193,Samthar,IN,2022-05-20 14:44:16,25.85,78.9167,105.33,10,2,6.87
194,Touros,BR,2022-05-20 14:44:16,-5.1989,-35.4608,86.56,61,32,7.92
195,Bay Roberts,CA,2022-05-20 14:44:17,47.5999,-53.2648,57.65,56,90,5.01
196,Pesnica Pri Mariboru,SI,2022-05-20 14:44:17,46.6069,15.6767,87.08,47,0,13.8
197,Kibre Mengist,ET,2022-05-20 14:44:18,5.8833,38.9833,63.75,89,100,3.96
198,Yeppoon,AU,2022-05-20 14:44:18,-23.1333,150.7333,60.58,91,100,23.42
199,Bluff,NZ,2022-05-20 14:35:57,-46.6,168.3333,50.4,69,81,32.64
200,Nikolskoye,RU,2022-05-20 14:36:10,59.7035,30.7861,53.49,41,96,7.54
201,Lexington,US,2022-05-20 14:42:02,37.9887,-84.4777,80.33,65,0,19.57
202,Mimarsinan,TR,2022-05-20 14:42:07,41.0032,28.5377,71.19,49,2,16.24
203,Nacala,MZ,2022-05-20 14:44:19,-14.5428,40.6728,75.83,75,59,5.01
204,Andenes,NO,2022-05-20 14:44:19,69.3143,16.1194,48.18,61,75,6.91
205,Ust-Kut,RU,2022-05-20 14:44:20,56.7938,105.7672,61.59,51,100,2.77
206,Pacific Grove,US,2022-05-20 14:39:41,36.6177,-121.9166,53.51,85,0,15.99
207,Tazmalt,DZ,2022-05-20 14:44:20,36.3868,4.3989,89.98,22,0,1.81
208,Tautira,PF,2022-05-20 14:44:21,-17.7333,-149.15,79.02,74,24,8.99
209,Portoferraio,IT,2022-05-20 14:44:21,42.8115,10.3146,77.16,53,0,11.5
210,San Patricio,US,2022-05-20 14:44:21,28.017,-97.5169,84.92,57,35,22.86
211,Tostedt,DE,2022-05-20 14:44:22,53.2833,9.7167,69.82,63,73,4.56
212,Weligama,LK,2022-05-20 14:44:22,5.9667,80.4167,78.84,90,77,8.1
213,Miri,MY,2022-05-20 14:44:22,4.4148,114.0089,78.94,94,40,2.3
214,Ponta Delgada,PT,2022-05-20 14:44:23,37.7333,-25.6667,65.12,72,20,12.66
215,Natal,BR,2022-05-20 14:44:23,-5.795,-35.2094,88.02,66,40,9.22
216,Martapura,ID,2022-05-20 14:44:23,-3.4167,114.85,77.09,94,40,0.0
217,Governador Valadares,BR,2022-05-20 14:44:24,-18.8511,-41.9494,74.39,41,10,3.69
218,Sur,OM,2022-05-20 14:44:24,22.5667,59.5289,95.2,37,0,4.16
219,Polonnaruwa,LK,2022-05-20 14:44:25,7.9333,81.0,81.84,68,28,12.21
220,Colquiri,BO,2022-05-20 14:44:25,-17.4167,-67.1333,42.93,20,29,3.15
221,Eyrarbakki,IS,2022-05-20 14:44:25,63.863,-21.1481,55.45,71,100,12.15
222,Baiyin,CN,2022-05-20 14:44:26,36.5583,104.2081,69.28,30,100,7.45
223,Bambous Virieux,MU,2022-05-20 14:44:26,-20.3428,57.7575,76.21,83,75,13.8
224,Coquimbo,CL,2022-05-20 14:44:27,-29.9533,-71.3436,60.53,51,0,6.91
225,Denia,ES,2022-05-20 14:44:27,38.8408,0.1057,81.55,69,38,8.99
226,Sangmelima,CM,2022-05-20 14:44:27,2.9333,11.9833,73.87,95,100,3.53
227,Tunggol,PH,2022-05-20 14:44:28,5.8446,121.1544,81.91,80,89,4.29
228,Hithadhoo,MV,2022-05-20 14:43:41,-0.6,73.0833,83.59,72,97,11.41
229,Lavrentiya,RU,2022-05-20 14:44:28,65.5833,-171.0,28.35,91,90,6.24
230,Mkushi,ZM,2022-05-20 14:44:28,-13.6202,29.3939,71.91,57,98,6.22
231,Nortelandia,BR,2022-05-20 14:44:29,-14.4547,-56.8028,74.89,30,86,2.19
232,Tuktoyaktuk,CA,2022-05-20 14:35:56,69.4541,-133.0374,28.4,100,100,5.75
233,Conway,US,2022-05-20 14:41:08,35.0887,-92.4421,78.82,74,100,17.27
234,Fairbanks,US,2022-05-20 14:40:33,64.8378,-147.7164,52.21,67,0,6.91
235,Saravan,AM,2022-05-20 14:45:29,39.7196,45.6483,53.46,68,82,6.15
236,Nkwerre,NG,2022-05-20 14:45:30,5.7556,7.1063,88.84,56,88,4.38
237,Barhi,IN,2022-05-20 14:45:30,23.9,80.8,98.42,13,0,7.14
238,Mazara Del Vallo,IT,2022-05-20 14:45:31,37.6641,12.588,76.93,76,5,7.16
239,Nichinan,JP,2022-05-20 14:45:31,31.6,131.3667,59.34,95,100,8.88
240,Flinders,AU,2022-05-20 14:45:31,-34.5833,150.8552,56.17,89,100,1.99
241,San Policarpo,PH,2022-05-20 14:45:32,12.1791,125.5072,81.84,82,100,10.27
242,Kruisfontein,ZA,2022-05-20 14:45:32,-34.0033,24.7314,55.89,90,100,9.28
243,Luangwa,ZM,2022-05-20 14:45:33,-15.6167,30.4167,85.59,40,46,2.55
244,Seminole,US,2022-05-20 14:44:50,28.7086,-81.2081,85.14,65,0,9.22
245,Tikrit,IQ,2022-05-20 14:45:33,34.6071,43.6782,92.61,10,92,17.87
246,Coari,BR,2022-05-20 14:45:34,-4.085,-63.1414,78.84,65,75,1.97
247,Banjarmasin,ID,2022-05-20 14:45:34,-3.3244,114.591,77.14,95,100,2.13
248,Mizdah,LY,2022-05-20 14:45:34,31.4451,12.9801,77.59,27,0,13.69
249,Castelo Do Piaui,BR,2022-05-20 14:45:35,-5.3222,-41.5525,83.16,71,65,2.8
250,Necochea,AR,2022-05-20 14:45:35,-38.5473,-58.7368,56.34,48,75,14.58
251,Takaka,NZ,2022-05-20 14:45:35,-40.85,172.8,50.56,69,12,7.18
252,Fort Nelson,CA,2022-05-20 14:41:08,58.8053,-122.7002,36.99,65,75,0.0
253,Koulikoro,ML,2022-05-20 14:45:36,14.0,-7.75,100.02,18,100,17.07
254,Mbeya,TZ,2022-05-20 14:45:36,-8.9,33.45,65.98,74,87,3.36
255,Tasiilaq,GL,2022-05-20 14:45:36,65.6145,-37.6368,37.56,78,86,2.89
256,Pasni,PK,2022-05-20 14:44:23,25.2631,63.471,83.23,85,0,12.8
257,Ojinaga,MX,2022-05-20 14:45:37,29.5667,-104.4167,85.57,20,0,8.05
258,Saint-Philippe,RE,2022-05-20 14:45:37,-21.3585,55.7679,76.59,86,55,12.12
259,Malartic,CA,2022-05-20 14:45:18,48.1335,-78.1328,57.31,93,100,12.64
260,Saeby,DK,2022-05-20 14:45:38,57.3319,10.5225,61.97,56,84,11.68
261,Kyra,RU,2022-05-20 14:45:38,49.5776,111.9753,61.07,37,89,4.68
262,Luwingu,ZM,2022-05-20 14:45:38,-10.2621,29.9271,73.18,58,35,4.18
263,Dingle,PH,2022-05-20 14:45:39,10.9995,122.6711,78.39,89,100,4.0
264,Semibratovo,RU,2022-05-20 14:45:39,57.3046,39.5369,49.86,58,97,8.39
265,Bengkulu,ID,2022-05-20 14:45:39,-3.8004,102.2655,77.74,83,18,3.0
266,Lagoa,PT,2022-05-20 14:45:40,39.05,-27.9833,61.95,81,100,10.89
267,Kutum,SD,2022-05-20 14:45:40,14.2,24.6667,93.97,8,5,14.54
268,Mahebourg,MU,2022-05-20 14:45:40,-20.4081,57.7,76.24,83,75,13.8
269,Severo-Kurilsk,RU,2022-05-20 14:45:41,50.6789,156.125,43.43,92,99,6.24
270,Ahipara,NZ,2022-05-20 14:45:41,-35.1667,173.1667,57.97,63,100,16.33
271,Zaysan,KZ,2022-05-20 14:45:42,47.4667,84.8667,66.18,40,0,4.7
272,Matagami,CA,2022-05-20 14:45:42,49.7502,-77.6328,55.51,76,100,14.97
273,Cravo Norte,CO,2022-05-20 14:45:42,6.3017,-70.2041,80.8,70,78,6.89
274,Grakhovo,RU,2022-05-20 14:45:43,56.0502,51.9676,46.2,72,100,4.65
275,Never,FR,2022-05-20 14:45:43,46.9896,3.159,80.35,53,96,15.75
276,Salalah,OM,2022-05-20 14:45:43,17.0151,54.0924,86.09,79,0,9.22
277,Jhabua,IN,2022-05-20 14:45:44,22.7667,74.6,95.14,28,0,19.46
278,Maldonado,UY,2022-05-20 14:45:44,-34.6667,-54.9167,58.39,52,4,10.58
279,Camapua,BR,2022-05-20 14:42:22,-19.5314,-54.0439,69.66,34,0,4.32
280,Aguazul,CO,2022-05-20 14:46:44,5.1728,-72.5471,72.63,93,100,2.84
281,Kidal,ML,2022-05-20 14:46:45,18.4411,1.4078,102.27,12,78,12.8
282,Tromso,NO,2022-05-20 14:46:45,69.6496,18.957,51.82,43,0,9.22
283,Negombo,LK,2022-05-20 14:46:45,7.2083,79.8358,82.45,89,20,4.61
284,Rawson,AR,2022-05-20 14:46:46,-43.3002,-65.1023,66.65,36,68,23.85
285,Pingliang,CN,2022-05-20 14:46:46,35.5392,106.6861,64.62,53,100,4.72
286,Naze,JP,2022-05-20 14:46:46,28.3667,129.4833,70.72,92,100,22.5
287,Saint-Pierre,RE,2022-05-20 14:46:47,-21.3393,55.4781,76.68,65,100,9.22
288,Belmonte,BR,2022-05-20 14:46:47,-15.8631,-38.8828,76.08,43,80,8.46
289,San Rafael,AR,2022-05-20 14:46:11,-34.6177,-68.3301,68.18,20,1,8.41
290,Iqaluit,CA,2022-05-20 14:46:48,63.7506,-68.5145,29.93,86,100,6.91
291,Quatre Cocos,MU,2022-05-20 14:46:48,-20.2078,57.7625,76.08,70,12,15.93
292,Atar,MR,2022-05-20 14:46:48,20.5169,-13.0499,103.01,11,99,4.76
293,Steamboat Springs,US,2022-05-20 14:46:49,40.485,-106.8317,32.94,94,100,5.75
294,Marawi,PH,2022-05-20 14:46:49,7.9986,124.2928,70.5,93,84,1.57
295,Melita,CA,2022-05-20 14:46:49,49.2681,-100.9967,33.55,84,100,19.62
