City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
195,Bay Roberts,CA,57.65,47.5999,-53.2648,Stonewall Inn
199,Bluff,NZ,50.4,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
200,Nikolskoye,RU,53.49,59.7035,30.7861,Tourist House - Sablino
204,Andenes,NO,48.18,69.3143,16.1194,Hotell Marena
206,Pacific Grove,US,53.51,36.6177,-121.9166,Lovers Point Inn
220,Colquiri,BO,42.93,-17.4167,-67.1333,
221,Eyrarbakki,IS,55.45,63.863,-21.1481,Guesthouse 77
234,Fairbanks,US,52.21,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
235,Saravan,AM,53.46,39.7196,45.6483,
239,Nichinan,JP,59.34,31.6,131.3667,Guest House Aki
240,Flinders,AU,56.17,-34.5833,150.8552,Shellharbour Resort & Conference Centre
242,Kruisfontein,ZA,55.89,-34.0033,24.7314,Oyster Bay House Rental
250,Necochea,AR,56.34,-38.5473,-58.7368,dyd -mar Hotel
251,Takaka,NZ,50.56,-40.85,172.8,Golden Bay Motels
252,Fort Nelson,CA,36.99,58.8053,-122.7002,The Fort Nelson Hotel
255,Tasiilaq,GL,37.56,65.6145,-37.6368,The Red House
259,Malartic,CA,57.31,48.1335,-78.1328,Camping Regional De Malartic
264,Semibratovo,RU,49.86,57.3046,39.5369,"Semeynyy Khostel ""Mamin Uyut"""
269,Severo-Kurilsk,RU,43.43,50.6789,156.125,Kak Doma
270,Ahipara,NZ,57.97,-35.1667,173.1667,Ahipara Holiday Park
272,Matagami,CA,55.51,49.7502,-77.6328,Motel Le Caribou
274,Grakhovo,RU,46.2,56.0502,51.9676,Gostinitsa Aslan
278,Maldonado,UY,58.39,-34.6667,-54.9167,La Cimarrona
282,Tromso,NO,51.82,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
293,Steamboat Springs,US,32.94,40.485,-106.8317,Steamboat Grand
295,Melita,CA,33.55,49.2681,-100.9967,Western Star Hotel
298,Timra,SE,55.08,62.487,17.3257,Bergefors park
300,Mishan,CN,58.42,45.55,131.8833,Mishan Hotel
305,Atascadero,US,56.82,35.4894,-120.6707,"Holiday Inn Express & Suites Atascadero, an IHG Hotel"
308,Kirovskiy,RU,56.46,45.0917,133.5136,"Uyut, Gostinitsa"
310,Rudnogorsk,RU,55.9,57.2639,103.7519,
312,Concepcion,CL,57.0,-36.827,-73.0498,Hotel El Araucano
314,North Bend,US,45.16,43.4065,-124.2243,Red Lion Hotel Coos Bay
326,Hinton,CA,37.63,53.4001,-117.5857,Econo Lodge & Suites
329,Krasnoselkup,RU,50.09,65.7,82.4667,Krasnosel'kupnefteprodukt
330,Cherskiy,RU,44.24,68.75,161.3,Gostinitsa
334,Lincoln,US,58.14,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
335,Talnakh,RU,43.21,69.4865,88.3972,Talnakh Hotel
336,Anadyr,RU,32.5,64.75,177.4833,Отке17.ру — жильё для командированных
339,At-Bashi,KG,56.37,41.1702,75.8106,Hostel At-Bashy
340,Kungurtug,RU,56.68,50.5994,97.5228,
342,High Level,CA,37.51,58.5169,-117.136,Days Inn by Wyndham High Level
344,Chapais,CA,56.98,49.7834,-74.8492,Hôtel Opémiska
345,Aksarka,RU,32.95,66.5606,67.7975,
348,Batemans Bay,AU,58.1,-35.7167,150.1833,Batemans Bay Marina Resort
356,Saint-Augustin,CA,57.04,51.226,-58.6502,
357,Laramie,US,31.08,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
358,Sorland,NO,46.26,67.667,12.6934,Sjybrygga fiskecamp
363,Portland,US,48.96,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
364,Chupa,RU,41.99,66.27,33.0549,Hostel on Pionerskaya 88
367,Port Hardy,CA,46.58,50.6996,-127.4199,Airport Inn-Port Hardy
371,Sisimiut,GL,41.43,66.9395,-53.6735,Hotel Sisimiut
372,Smithers,CA,34.12,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
374,Solnechnyy,RU,43.0,50.7214,136.6319,Hotel complex Pastoral
378,Khani,GE,45.97,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
380,Hailar,CN,57.27,49.2,119.7,Holiday Inn & Suites Hulunbuir
381,Verkhnevilyuysk,RU,43.68,63.4453,120.3167,Gostinitsa Mila
385,Qasigiannguit,GL,35.85,68.8193,-51.1922,Almost HOME
387,Sioux Lookout,CA,39.27,50.1001,-91.917,Knobby's Fly-In Camps
397,Kichmengskiy Gorodok,RU,44.56,59.9816,45.7854,Gostinitsa
400,Dimitrovgrad,RU,46.29,54.2139,49.6184,Skazka
402,College,US,52.2,64.8569,-147.8028,Pike's Waterfront Lodge
406,Storsteinnes,NO,56.05,69.2408,19.2344,Tingvoll
413,Aasiaat,GL,32.25,68.7098,-52.8699,Hotel Aasiaat Sømandshjem
414,Igrim,RU,34.5,63.1906,64.4162,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
415,San Carlos De Bariloche,AR,46.15,-41.1456,-71.3082,Hotel Patagonia
416,Huancavelica,PE,45.9,-12.7667,-74.9833,Hotel Victoria Huancavelica
418,Nelson,NZ,41.29,-41.2833,173.2833,Trailways Hotel
420,Olafsvik,IS,49.17,64.8945,-23.7142,Hotel Olafsvik
425,Yerofey Pavlovich,RU,43.11,53.9667,121.9667,lounges and warm parking
426,Urusha,RU,42.28,54.05,122.9,Dom Otdykha Lokomotivnykh Brigad
430,Ornskoldsvik,SE,56.35,63.2909,18.7153,ファーストホテル スタット
441,Svetlaya,RU,41.34,46.5389,138.3297,
443,Matane,CA,55.71,48.8286,-67.522,Hotel-Motel Belle Plage
445,Nizhniy Kuranakh,RU,36.9,58.8353,125.4869,Park Pobedy
449,Dargaville,NZ,57.27,-35.9333,173.8833,Parkview Motel
457,Marystown,CA,55.85,47.1666,-55.1483,Marystown Hotel & Convention Centre
462,Erzurum,TR,47.88,40.0,41.5,Saksi Koyu Muhtarligi
464,Comodoro Rivadavia,AR,44.46,-45.8667,-67.5,Austral Hotel
468,Mount Gambier,AU,44.02,-37.8333,140.7667,The Commodore
